                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3844,                 3.6825,                 1.2066,                0.20861,                 0.2518,                0.12589,                0.08619,                 1.1478,                 2.7134,                 1.0786,              0.0001382,              0.0001382,              0.0001382
                      2,                 1.1695,                 2.1858,                 1.0698,                0.29018,                0.36542,                0.24512,                0.16424,                 1.0955,                 2.1961,                 1.0513,             0.00027445,             0.00027445,             0.00027445
                      3,                 1.0507,                  1.645,                 1.0267,                0.36248,                0.38617,                 0.3147,                0.21567,                 1.0717,                 2.0412,                 1.0434,             0.00040796,             0.00040796,             0.00040796
                      4,                0.97151,                 1.3785,                 1.0017,                0.34215,                0.47041,                0.39349,                 0.2784,                 1.0371,                 1.8336,                 1.0443,             0.00040462,             0.00040462,             0.00040462
                      5,                0.91187,                 1.2022,                0.97951,                 0.3917,                0.49195,                0.44773,                0.31911,                 1.0254,                 1.6392,                 1.0341,             0.00040049,             0.00040049,             0.00040049
                      6,                0.89571,                 1.1081,                0.97329,                0.40372,                0.49974,                0.47136,                0.33895,                0.99718,                 1.5807,                 1.0095,             0.00039636,             0.00039636,             0.00039636
                      7,                0.85727,                 1.0453,                 0.9614,                0.41965,                0.58491,                0.49764,                0.36091,                0.99901,                 1.5825,                 1.0109,             0.00039223,             0.00039223,             0.00039223
                      8,                 0.8425,                0.97332,                0.95419,                0.43321,                0.57762,                0.52447,                0.38282,                0.97865,                 1.4342,                 1.0072,              0.0003881,              0.0003881,              0.0003881
                      9,                0.80762,                0.91811,                0.94525,                0.45866,                0.58728,                 0.5393,                0.39233,                 0.9979,                 1.4163,                 1.0257,             0.00038397,             0.00038397,             0.00038397
                     10,                0.80923,                 0.8858,                0.94591,                0.48047,                0.61043,                0.55513,                0.41044,                0.97246,                 1.3372,                0.99481,             0.00037985,             0.00037985,             0.00037985
                     11,                0.77789,                0.84495,                 0.9359,                0.47868,                0.62027,                0.57585,                0.42371,                0.97125,                 1.3387,                  1.024,             0.00037572,             0.00037572,             0.00037572
                     12,                0.78445,                0.83053,                0.93716,                0.58191,                0.61534,                 0.6243,                0.46119,                0.97892,                 1.2378,                 1.0031,             0.00037159,             0.00037159,             0.00037159
                     13,                0.75863,                0.78384,                0.93112,                0.60978,                0.59237,                0.63855,                0.47528,                0.95719,                 1.2188,                 0.9993,             0.00036746,             0.00036746,             0.00036746
                     14,                0.75189,                0.76692,                0.92838,                0.55499,                 0.6686,                0.63961,                0.47502,                0.95519,                 1.2282,                0.99678,             0.00036333,             0.00036333,             0.00036333
                     15,                0.74018,                0.74844,                0.92702,                0.60306,                0.65783,                0.67733,                0.50445,                0.94104,                 1.1477,                 0.9901,              0.0003592,              0.0003592,              0.0003592
                     16,                0.73701,                0.72746,                0.92709,                0.60153,                0.64727,                0.67365,                 0.5008,                0.97361,                 1.1639,                 1.0081,             0.00035508,             0.00035508,             0.00035508
                     17,                0.72154,                0.69823,                0.92083,                0.63137,                  0.608,                0.67913,                0.50199,                0.96556,                 1.1535,                 1.0097,             0.00035095,             0.00035095,             0.00035095
                     18,                0.72723,                0.68579,                0.91863,                0.63786,                0.67687,                0.71034,                0.53144,                0.95241,                 1.1043,                0.98889,             0.00034682,             0.00034682,             0.00034682
