                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.379,                 3.6847,                 1.1803,                0.17881,                0.36938,                0.16086,                0.10412,                 1.1363,                 2.4035,                 1.0916,              0.0001382,              0.0001382,              0.0001382
                      2,                 1.2232,                 2.3522,                 1.1007,                0.41929,                0.48003,                0.38865,                0.27373,                  1.003,                 1.7821,                  1.018,             0.00027445,             0.00027445,             0.00027445
                      3,                 1.1512,                 1.8963,                 1.0728,                0.43196,                0.58044,                0.52647,                0.38271,                0.97184,                 1.4302,                 1.0177,             0.00040796,             0.00040796,             0.00040796
                      4,                 1.0975,                  1.616,                 1.0566,                0.50352,                0.68013,                0.59179,                0.43663,                0.95618,                 1.3956,                 1.0174,             0.00040462,             0.00040462,             0.00040462
                      5,                 1.0716,                   1.43,                 1.0522,                0.70155,                0.68035,                0.72269,                0.53866,                0.93079,                 1.1688,                  1.013,             0.00040049,             0.00040049,             0.00040049
                      6,                 1.0517,                 1.3247,                 1.0417,                 0.7235,                0.75452,                0.77771,                0.58409,                0.91791,                 1.0081,                0.99841,             0.00039636,             0.00039636,             0.00039636
                      7,                 1.0324,                 1.2123,                 1.0342,                0.70866,                0.81458,                0.82031,                0.62556,                0.88667,                0.91206,                 0.9781,             0.00039223,             0.00039223,             0.00039223
                      8,                 1.0129,                 1.1419,                 1.0288,                  0.739,                0.79319,                0.81375,                0.61765,                0.90042,                0.91723,                0.99386,              0.0003881,              0.0003881,              0.0003881
                      9,                0.99364,                 1.0683,                 1.0279,                0.77525,                0.83817,                0.86398,                0.66539,                0.88116,                0.79788,                0.99018,             0.00038397,             0.00038397,             0.00038397
                     10,                0.98635,                 1.0053,                 1.0176,                0.80332,                0.78358,                0.83836,                0.64288,                0.87669,                0.88455,                0.99087,             0.00037985,             0.00037985,             0.00037985
                     11,                0.97679,                0.95669,                 1.0199,                0.83567,                0.82099,                0.88802,                0.68966,                0.86991,                0.73223,                0.97088,             0.00037572,             0.00037572,             0.00037572
                     12,                0.96712,                0.92777,                 1.0129,                0.83359,                0.85901,                0.91161,                0.70223,                0.86172,                 0.7171,                0.98763,             0.00037159,             0.00037159,             0.00037159
                     13,                0.95334,                0.88702,                 1.0112,                0.87619,                0.86915,                0.93116,                0.72583,                0.84591,                0.67599,                 0.9669,             0.00036746,             0.00036746,             0.00036746
                     14,                0.95575,                0.85935,                 1.0115,                0.85569,                 0.8676,                0.93139,                0.72489,                0.84309,                0.66887,                0.97036,             0.00036333,             0.00036333,             0.00036333
                     15,                0.94583,                0.83797,                 1.0084,                0.88971,                  0.856,                0.92571,                0.71768,                0.86547,                0.66842,                0.99466,              0.0003592,              0.0003592,              0.0003592
                     16,                0.93478,                0.81475,                 1.0089,                0.87312,                0.88109,                0.92622,                0.72044,                0.84637,                0.67335,                 0.9755,             0.00035508,             0.00035508,             0.00035508
                     17,                0.92809,                0.79037,                 1.0012,                0.88457,                0.88414,                0.92546,                0.72587,                0.82332,                0.64976,                0.96134,             0.00035095,             0.00035095,             0.00035095
                     18,                0.92846,                0.77473,                0.99951,                0.88484,                0.88713,                0.93626,                0.72984,                 0.8476,                0.62361,                0.97006,             0.00034682,             0.00034682,             0.00034682
                     19,                0.91212,                0.74698,                0.99799,                0.88594,                0.89016,                0.93522,                0.73863,                0.82212,                 0.6075,                0.96916,             0.00034269,             0.00034269,             0.00034269
                     20,                0.92281,                0.75085,                0.99788,                0.89799,                0.89707,                 0.9399,                0.73716,                0.83875,                 0.6169,                0.97453,             0.00033856,             0.00033856,             0.00033856
                     21,                0.90905,                0.72609,                0.99791,                0.92063,                0.89559,                0.95406,                0.75452,                0.80893,                0.56992,                0.96005,             0.00033443,             0.00033443,             0.00033443
                     22,                0.90913,                0.69826,                0.99499,                0.91144,                0.88054,                0.93668,                0.74148,                0.81329,                 0.5743,                0.95915,             0.00033031,             0.00033031,             0.00033031
                     23,                0.90186,                 0.6888,                0.99176,                0.93401,                0.91326,                0.95805,                0.75876,                0.81112,                0.54184,                0.95807,             0.00032618,             0.00032618,             0.00032618
                     24,                0.89533,                0.68636,                0.98939,                0.90584,                0.89353,                0.94542,                0.74993,                0.80746,                0.58778,                 0.9563,             0.00032205,             0.00032205,             0.00032205
                     25,                0.88554,                0.67011,                 0.9892,                0.92676,                0.91998,                0.95577,                0.76137,                  0.804,                0.53912,                0.96202,             0.00031792,             0.00031792,             0.00031792
                     26,                0.88825,                0.66668,                0.98835,                0.91142,                0.89949,                0.94052,                0.74303,                0.81679,                0.58672,                0.96326,             0.00031379,             0.00031379,             0.00031379
                     27,                0.88404,                0.64007,                0.98727,                0.93537,                 0.9084,                0.95537,                  0.761,                0.79188,                0.51813,                0.94647,             0.00030966,             0.00030966,             0.00030966
                     28,                0.88585,                0.65007,                0.98975,                0.92533,                0.91527,                0.95596,                0.76314,                0.78731,                0.56066,                0.95657,             0.00030554,             0.00030554,             0.00030554
                     29,                0.86951,                 0.6241,                0.98025,                0.92269,                0.90668,                0.95121,                0.76048,                 0.8021,                0.53432,                0.95669,             0.00030141,             0.00030141,             0.00030141
                     30,                 0.8692,                0.61155,                0.98718,                0.92262,                0.92685,                 0.9581,                0.76553,                0.78863,                0.50901,                0.95059,             0.00029728,             0.00029728,             0.00029728
                     31,                 0.8629,                0.62055,                0.97866,                0.93858,                0.91678,                0.96425,                0.77132,                0.78104,                0.49882,                0.95175,             0.00029315,             0.00029315,             0.00029315
                     32,                  0.857,                0.60687,                0.97847,                 0.9446,                0.91352,                0.96328,                0.77445,                0.77792,                0.48583,                0.94711,             0.00028902,             0.00028902,             0.00028902
                     33,                0.86115,                  0.593,                0.97753,                0.94019,                 0.9111,                0.96545,                0.76907,                0.78837,                0.50508,                0.95551,             0.00028489,             0.00028489,             0.00028489
                     34,                0.85553,                0.59219,                0.97849,                0.93955,                0.91635,                 0.9572,                 0.7685,                0.78455,                0.50551,                0.95569,             0.00028077,             0.00028077,             0.00028077
                     35,                0.84777,                0.58569,                0.97597,                0.92821,                0.88983,                0.95281,                0.75845,                0.79052,                0.52401,                0.95311,             0.00027664,             0.00027664,             0.00027664
                     36,                0.84653,                0.57751,                0.97476,                0.93031,                0.92406,                0.96257,                0.77029,                0.78642,                0.50126,                0.95414,             0.00027251,             0.00027251,             0.00027251
                     37,                0.84189,                0.56923,                0.97051,                0.93943,                0.92505,                 0.9636,                0.77608,                0.77613,                0.48602,                0.94502,             0.00026838,             0.00026838,             0.00026838
                     38,                0.84689,                0.56255,                0.96886,                0.94919,                 0.9175,                0.96561,                0.77642,                0.78261,                0.47573,                0.94937,             0.00026425,             0.00026425,             0.00026425
                     39,                0.84344,                0.56338,                0.97128,                0.94598,                0.90653,                0.96039,                0.77474,                0.76415,                0.47932,                0.94414,             0.00026012,             0.00026012,             0.00026012
                     40,                0.83852,                 0.5525,                0.96869,                0.93264,                0.91633,                0.96106,                0.77311,                0.78431,                0.47864,                0.95084,               0.000256,               0.000256,               0.000256
                     41,                0.83383,                0.55062,                0.96945,                0.91689,                0.91532,                 0.9508,                0.77149,                0.77846,                0.50173,                0.95192,             0.00025187,             0.00025187,             0.00025187
                     42,                0.83092,                0.54267,                0.96864,                0.91903,                0.90314,                0.94544,                0.75892,                 0.7812,                0.50082,                0.95459,             0.00024774,             0.00024774,             0.00024774
                     43,                0.82717,                0.53884,                0.96821,                0.92508,                0.93453,                0.96339,                0.77921,                0.76896,                0.47005,                0.94699,             0.00024361,             0.00024361,             0.00024361
                     44,                0.82474,                0.53567,                0.96586,                0.94303,                0.91819,                0.96805,                0.77774,                0.77885,                0.46314,                0.95633,             0.00023948,             0.00023948,             0.00023948
                     45,                0.81925,                0.52972,                0.96299,                0.94985,                0.92973,                0.96998,                 0.7878,                0.76405,                0.46168,                0.94546,             0.00023535,             0.00023535,             0.00023535
                     46,                0.81475,                0.51655,                0.96366,                0.93594,                 0.9283,                0.96695,                 0.7843,                0.76838,                0.44892,                0.94478,             0.00023123,             0.00023123,             0.00023123
                     47,                0.81911,                0.52438,                0.96538,                0.92439,                0.92666,                0.96611,                0.78761,                0.75322,                 0.4517,                0.93605,              0.0002271,              0.0002271,              0.0002271
                     48,                0.81786,                0.52007,                0.96244,                0.91614,                0.92664,                0.95639,                0.76815,                0.77929,                0.47642,                  0.952,             0.00022297,             0.00022297,             0.00022297
                     49,                 0.8074,                 0.5148,                0.96211,                0.91288,                0.92791,                 0.9505,                0.76739,                0.76603,                0.48926,                0.94891,             0.00021884,             0.00021884,             0.00021884
                     50,                 0.8045,                0.50829,                0.95872,                0.93621,                 0.9317,                0.96731,                0.78377,                 0.7596,                0.44578,                0.94319,             0.00021471,             0.00021471,             0.00021471
                     51,                0.80706,                 0.5035,                 0.9601,                0.92557,                0.93134,                0.96657,                0.78522,                 0.7609,                0.44681,                0.94046,             0.00021059,             0.00021059,             0.00021059
                     52,                0.80592,                0.50327,                 0.9608,                0.95079,                0.91901,                0.95582,                0.77788,                0.75571,                  0.448,                0.93892,             0.00020646,             0.00020646,             0.00020646
                     53,                0.80655,                0.49955,                0.95834,                0.94831,                0.91584,                 0.9639,                 0.7806,                0.75962,                0.46266,                0.94432,             0.00020233,             0.00020233,             0.00020233
                     54,                 0.7936,                0.49475,                 0.9557,                0.95055,                0.93507,                0.96854,                 0.7939,                0.74944,                0.42424,                0.93837,              0.0001982,              0.0001982,              0.0001982
                     55,                0.80065,                0.49978,                0.95632,                   0.96,                0.91803,                0.96679,                0.78633,                0.75304,                0.44754,                0.93689,             0.00019407,             0.00019407,             0.00019407
                     56,                0.79548,                0.48787,                0.95316,                0.95305,                0.92791,                0.96774,                0.78911,                0.75505,                0.43614,                0.93937,             0.00018994,             0.00018994,             0.00018994
                     57,                0.79526,                0.49283,                0.95421,                0.92965,                0.94014,                0.97118,                0.79007,                0.74732,                0.43821,                0.93787,             0.00018582,             0.00018582,             0.00018582
                     58,                0.78936,                 0.4854,                0.95471,                0.94956,                0.92928,                0.96621,                0.78297,                0.75601,                0.43278,                0.94222,             0.00018169,             0.00018169,             0.00018169
                     59,                0.78634,                 0.4882,                0.95665,                0.95353,                0.93201,                 0.9745,                 0.7933,                0.75106,                 0.4209,                0.93896,             0.00017756,             0.00017756,             0.00017756
                     60,                0.78552,                 0.4836,                 0.9532,                0.93825,                0.92147,                0.96172,                0.78487,                0.75482,                0.44656,                0.94082,             0.00017343,             0.00017343,             0.00017343
                     61,                0.78414,                0.46799,                0.94855,                0.93975,                0.92625,                0.96571,                0.78489,                0.75989,                 0.4446,                0.94336,              0.0001693,              0.0001693,              0.0001693
                     62,                0.78089,                0.47849,                0.95289,                0.95287,                0.93478,                0.97077,                0.79078,                0.75404,                0.41957,                0.93692,             0.00016517,             0.00016517,             0.00016517
                     63,                0.77365,                0.46875,                0.94596,                0.94111,                0.92521,                0.96547,                0.78408,                0.75521,                0.43318,                0.94015,             0.00016105,             0.00016105,             0.00016105
