                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0608,                 1.9566,                 1.1739,                0.54553,                0.53044,                0.52435,                0.38824,                0.94994,                 1.5579,                 1.1834,              0.0001382,              0.0001382,              0.0001382
                      2,                0.82342,                0.92219,                 1.0414,                0.58803,                0.62426,                0.63496,                0.46741,                0.95642,                 1.2416,                 1.1811,             0.00027445,             0.00027445,             0.00027445
                      3,                0.78292,                0.75305,                 1.0191,                0.64679,                0.68746,                0.70805,                 0.5362,                0.91539,                 1.1457,                  1.121,             0.00040796,             0.00040796,             0.00040796
                      4,                 0.7428,                0.67298,                 1.0034,                0.65333,                 0.6719,                0.69021,                0.51947,                0.91142,                 1.1997,                 1.1637,             0.00040462,             0.00040462,             0.00040462
                      5,                0.69335,                0.61551,                0.97802,                0.71376,                0.72413,                 0.7515,                0.57874,                0.87421,                0.98328,                 1.1012,             0.00040049,             0.00040049,             0.00040049
                      6,                0.68835,                0.54926,                0.97336,                0.72489,                0.72554,                0.77936,                0.59077,                0.89744,                0.92433,                 1.1339,             0.00039636,             0.00039636,             0.00039636
                      7,                0.64374,                0.50441,                0.95876,                0.74396,                0.78494,                0.82238,                0.63099,                0.88437,                0.83396,                 1.0895,             0.00039223,             0.00039223,             0.00039223
                      8,                0.64135,                0.49361,                0.95735,                0.77381,                0.74828,                0.81107,                0.62931,                0.85229,                0.84387,                 1.0853,              0.0003881,              0.0003881,              0.0003881
                      9,                0.60702,                0.45197,                0.94269,                 0.7874,                0.75721,                0.85643,                0.66533,                0.86945,                0.78813,                 1.0888,             0.00038397,             0.00038397,             0.00038397
                     10,                0.60329,                0.43965,                0.93964,                0.78052,                0.80032,                0.84208,                0.66658,                0.82514,                0.74696,                 1.0549,             0.00037985,             0.00037985,             0.00037985
                     11,                0.58467,                0.42104,                0.94087,                0.83741,                0.84641,                 0.8998,                 0.7003,                0.85638,                 0.6152,                 1.0776,             0.00037572,             0.00037572,             0.00037572
                     12,                0.56377,                0.41654,                 0.9223,                0.82552,                0.79899,                0.87114,                0.68807,                0.83676,                 0.6857,                 1.1012,             0.00037159,             0.00037159,             0.00037159
                     13,                0.55848,                  0.403,                0.92342,                0.83272,                 0.8386,                0.89144,                 0.7002,                0.83499,                0.61059,                   1.07,             0.00036746,             0.00036746,             0.00036746
                     14,                0.55087,                0.38943,                0.91974,                0.86227,                0.86644,                0.93234,                0.74062,                0.81995,                0.54541,                 1.0479,             0.00036333,             0.00036333,             0.00036333
                     15,                0.53305,                0.37369,                0.91608,                0.85944,                0.79338,                0.89403,                0.70081,                0.83301,                 0.6617,                 1.0747,              0.0003592,              0.0003592,              0.0003592
                     16,                0.52638,                0.37151,                0.91649,                  0.865,                0.84724,                0.90288,                0.71311,                0.81194,                0.59518,                 1.0412,             0.00035508,             0.00035508,             0.00035508
                     17,                 0.5154,                0.35449,                0.90837,                0.87508,                0.84147,                0.93045,                0.73738,                0.81302,                 0.5535,                 1.0571,             0.00035095,             0.00035095,             0.00035095
                     18,                  0.508,                0.34636,                0.90447,                0.85372,                 0.8254,                 0.8902,                0.70834,                0.80352,                0.56718,                 1.0415,             0.00034682,             0.00034682,             0.00034682
                     19,                0.49741,                   0.34,                0.90033,                0.89129,                0.83875,                0.91707,                0.72884,                0.81589,                0.55762,                 1.0465,             0.00034269,             0.00034269,             0.00034269
                     20,                0.49065,                0.32391,                0.89908,                0.88621,                0.81753,                0.91936,                0.73525,                0.81207,                0.57691,                 1.0687,             0.00033856,             0.00033856,             0.00033856
                     21,                0.48534,                0.32396,                0.90201,                0.88718,                0.86247,                0.91828,                0.73469,                0.80139,                0.52911,                 1.0896,             0.00033443,             0.00033443,             0.00033443
                     22,                0.47905,                0.32743,                0.89963,                0.87058,                0.86298,                 0.9236,                0.73633,                0.80507,                0.54328,                 1.0844,             0.00033031,             0.00033031,             0.00033031
                     23,                0.47912,                0.32195,                0.89661,                0.86967,                0.86857,                0.93033,                 0.7435,                0.79022,                 0.5096,                 1.0541,             0.00032618,             0.00032618,             0.00032618
                     24,                0.46958,                0.31432,                0.89658,                0.84758,                0.85788,                 0.9084,                0.72562,                0.79683,                0.56416,                 1.0652,             0.00032205,             0.00032205,             0.00032205
                     25,                0.47298,                0.31266,                0.89436,                0.91999,                0.89025,                   0.95,                0.75627,                0.79996,                0.45286,                  1.037,             0.00031792,             0.00031792,             0.00031792
                     26,                0.45506,                0.29751,                0.88833,                0.89497,                0.90776,                 0.9412,                0.75689,                0.79498,                0.45543,                 1.0495,             0.00031379,             0.00031379,             0.00031379
                     27,                0.45942,                 0.2996,                0.89281,                0.89627,                0.91473,                0.95455,                0.76613,                0.79073,                0.44954,                 1.0334,             0.00030966,             0.00030966,             0.00030966
                     28,                0.45488,                0.29044,                0.88796,                 0.8998,                0.88564,                0.95361,                0.75702,                0.82036,                0.46138,                 1.0577,             0.00030554,             0.00030554,             0.00030554
                     29,                0.44545,                0.28824,                 0.8874,                0.91013,                0.91305,                0.95607,                0.76702,                0.78974,                0.45213,                  1.054,             0.00030141,             0.00030141,             0.00030141
                     30,                0.44032,                0.28284,                 0.8833,                 0.9245,                0.92334,                0.95595,                0.77076,                0.78221,                0.43448,                 1.0362,             0.00029728,             0.00029728,             0.00029728
                     31,                0.43785,                 0.2813,                0.88014,                 0.9128,                0.90764,                0.95396,                 0.7614,                0.79764,                0.44371,                 1.0364,             0.00029315,             0.00029315,             0.00029315
                     32,                0.43525,                 0.2775,                0.87975,                 0.9169,                0.90888,                 0.9548,                0.77069,                0.78014,                0.44251,                 1.0362,             0.00028902,             0.00028902,             0.00028902
                     33,                0.42858,                0.27152,                0.87769,                0.88859,                0.90751,                0.94537,                0.76516,                0.77828,                0.45454,                 1.0202,             0.00028489,             0.00028489,             0.00028489
                     34,                0.42644,                0.26918,                0.87469,                0.90408,                0.88864,                0.94769,                0.76637,                0.78539,                0.46902,                 1.0218,             0.00028077,             0.00028077,             0.00028077
                     35,                0.42632,                0.26897,                0.87737,                0.91661,                0.90414,                0.95155,                0.77219,                0.77152,                0.42391,                 1.0219,             0.00027664,             0.00027664,             0.00027664
                     36,                0.41824,                0.26775,                0.87662,                0.92703,                0.89054,                0.94623,                0.76742,                 0.7698,                0.46323,                 1.0329,             0.00027251,             0.00027251,             0.00027251
                     37,                0.40733,                0.26206,                 0.8713,                0.92881,                0.91698,                0.95279,                0.77335,                0.77164,                0.40861,                 1.0233,             0.00026838,             0.00026838,             0.00026838
                     38,                0.41278,                0.25964,                0.86885,                0.91137,                0.91578,                0.95124,                0.76785,                0.77863,                0.41648,                 1.0237,             0.00026425,             0.00026425,             0.00026425
                     39,                0.41197,                0.25791,                0.87019,                0.93278,                0.91528,                0.95552,                0.77278,                0.77673,                0.41688,                 1.0328,             0.00026012,             0.00026012,             0.00026012
                     40,                0.40017,                0.25214,                0.87085,                0.92622,                0.89432,                0.94784,                0.76854,                 0.7611,                0.42618,                 1.0235,               0.000256,               0.000256,               0.000256
                     41,                0.40415,                 0.2551,                0.87272,                0.94003,                0.90628,                0.95734,                0.78069,                0.76244,                0.41344,                 1.0353,             0.00025187,             0.00025187,             0.00025187
                     42,                0.40025,                0.25111,                0.86813,                0.93679,                0.91627,                0.96156,                0.78033,                0.76583,                0.39112,                0.99759,             0.00024774,             0.00024774,             0.00024774
                     43,                 0.3966,                0.24541,                0.86372,                0.92955,                0.92439,                0.95794,                 0.7756,                0.77666,                0.40623,                 1.0153,             0.00024361,             0.00024361,             0.00024361
                     44,                 0.3901,                0.24545,                 0.8628,                0.93419,                0.93533,                0.96433,                0.78704,                 0.7643,                0.38553,                 1.0055,             0.00023948,             0.00023948,             0.00023948
                     45,                0.38972,                0.24143,                0.86041,                0.92865,                0.91026,                0.95524,                0.77844,                0.76248,                0.41525,                0.99688,             0.00023535,             0.00023535,             0.00023535
                     46,                0.38229,                 0.2325,                0.85806,                 0.9333,                 0.9241,                0.96202,                 0.7838,                0.76225,                0.39288,                 1.0075,             0.00023123,             0.00023123,             0.00023123
                     47,                0.38357,                0.23429,                0.86157,                0.92339,                 0.9343,                0.96752,                0.78858,                 0.7593,                0.38643,                0.99916,              0.0002271,              0.0002271,              0.0002271
                     48,                0.38046,                0.23301,                0.86276,                0.94592,                 0.9293,                0.96845,                0.78958,                0.76874,                 0.3754,                 1.0209,             0.00022297,             0.00022297,             0.00022297
                     49,                0.37367,                0.23082,                0.86027,                0.94061,                0.91794,                0.96111,                0.78223,                0.77482,                0.39759,                 1.0497,             0.00021884,             0.00021884,             0.00021884
                     50,                0.37802,                0.23648,                0.86711,                0.95376,                0.92373,                0.97085,                 0.7905,                0.76303,                0.36968,                 1.0337,             0.00021471,             0.00021471,             0.00021471
                     51,                0.37376,                0.23234,                0.86345,                0.94124,                0.92358,                0.96611,                0.79056,                0.75605,                0.39296,                 1.0515,             0.00021059,             0.00021059,             0.00021059
                     52,                0.37146,                0.22646,                0.86304,                 0.9314,                0.92447,                0.95967,                0.78812,                0.75231,                0.39288,                 1.0354,             0.00020646,             0.00020646,             0.00020646
                     53,                 0.3756,                0.22776,                0.86314,                0.95418,                0.90522,                0.96495,                0.79262,                0.75091,                0.38508,                 1.0296,             0.00020233,             0.00020233,             0.00020233
                     54,                0.36088,                0.22265,                 0.8582,                0.94299,                 0.8956,                0.95346,                0.78235,                0.75691,                0.39437,                  1.025,              0.0001982,              0.0001982,              0.0001982
                     55,                0.36483,                 0.2222,                0.85808,                0.95108,                0.91454,                 0.9628,                0.78978,                0.75057,                0.36982,                0.99687,             0.00019407,             0.00019407,             0.00019407
                     56,                0.35916,                0.21833,                0.85361,                0.92889,                 0.9259,                0.96474,                0.79123,                0.75703,                0.37568,                0.99844,             0.00018994,             0.00018994,             0.00018994
                     57,                0.35314,                0.21691,                0.85261,                0.94599,                0.92472,                0.96857,                0.79439,                0.75524,                0.37142,                 1.0041,             0.00018582,             0.00018582,             0.00018582
                     58,                0.35227,                0.21046,                 0.8534,                0.94886,                0.91745,                 0.9622,                0.79122,                 0.7556,                 0.3732,                 1.0263,             0.00018169,             0.00018169,             0.00018169
                     59,                0.35229,                0.21279,                0.85713,                0.94516,                0.92617,                0.96624,                0.78977,                0.75042,                0.36553,                 1.0051,             0.00017756,             0.00017756,             0.00017756
                     60,                0.34567,                0.20943,                0.84981,                0.94485,                0.92469,                0.96842,                0.79312,                0.75888,                0.37172,                 1.0114,             0.00017343,             0.00017343,             0.00017343
                     61,                0.34954,                 0.2079,                0.85331,                0.94347,                0.93148,                0.96862,                0.79892,                0.74466,                0.37093,                 1.0197,              0.0001693,              0.0001693,              0.0001693
                     62,                0.34146,                0.20845,                0.85079,                0.95514,                0.90515,                0.96067,                0.78998,                0.75167,                0.37671,                 1.0151,             0.00016517,             0.00016517,             0.00016517
                     63,                0.33867,                0.20235,                0.84934,                0.95924,                0.92646,                 0.9644,                0.79244,                0.75618,                0.36992,                 1.0233,             0.00016105,             0.00016105,             0.00016105
                     64,                0.34273,                0.20661,                0.84965,                0.94847,                0.93116,                0.96339,                0.79177,                0.75057,                0.38747,                 1.0186,             0.00015692,             0.00015692,             0.00015692
                     65,                0.33868,                0.20203,                0.84718,                0.95119,                 0.9364,                0.96377,                0.79477,                 0.7506,                 0.3659,                 1.0037,             0.00015279,             0.00015279,             0.00015279
                     66,                0.34146,                0.20169,                0.84559,                0.94581,                 0.9392,                0.96686,                0.79896,                0.74341,                0.35119,                0.99653,             0.00014866,             0.00014866,             0.00014866
                     67,                0.33565,                 0.2031,                0.84553,                0.94696,                0.93502,                0.96806,                0.79926,                0.74754,                0.35614,                0.99681,             0.00014453,             0.00014453,             0.00014453
                     68,                0.33512,                0.19859,                0.84317,                0.95453,                0.93125,                0.96887,                0.80029,                0.74527,                 0.3574,                0.99466,              0.0001404,              0.0001404,              0.0001404
                     69,                0.33124,                0.19504,                0.84559,                0.95853,                0.92836,                0.97043,                0.80139,                0.74825,                0.35398,                 1.0084,             0.00013628,             0.00013628,             0.00013628
                     70,                0.33207,                0.19827,                0.84593,                0.95204,                0.92277,                0.96877,                0.79681,                 0.7439,                0.35044,                0.99884,             0.00013215,             0.00013215,             0.00013215
                     71,                0.32496,                 0.1955,                0.84059,                0.95278,                0.92879,                0.97125,                0.80176,                0.74136,                0.35563,                0.98617,             0.00012802,             0.00012802,             0.00012802
                     72,                0.32082,                0.19084,                0.83795,                0.94926,                0.93706,                0.96925,                0.80177,                0.74153,                 0.3527,                0.98101,             0.00012389,             0.00012389,             0.00012389
                     73,                 0.3196,                0.19042,                0.83945,                0.95253,                0.93507,                0.97263,                0.80325,                0.74335,                 0.3556,                0.98519,             0.00011976,             0.00011976,             0.00011976
